age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_path
27,"{'x': 0, 'y': 0, 'w': 1865, 'h': 1707, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 3.763435035943985, 'Man': 96.23656272888184}",Man,"{'asian': 3.792224173571057e-09, 'indian': 5.0055221435579746e-14, 'black': 2.034365413573502e-17, 'white': 100.0, 'middle eastern': 3.6444047779582434e-07, 'latino hispanic': 1.880407651810856e-06}",white,"{'angry': 56.22873306274414, 'disgust': 0.7963864132761955, 'fear': 40.66300988197327, 'happy': 0.0003397963610041188, 'sad': 2.2682903334498405, 'surprise': 0.03952428814955056, 'neutral': 0.003717807339853607}",angry,image/teen/image14.jpeg
26,"{'x': 0, 'y': 0, 'w': 473, 'h': 513, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 4.558490589261055, 'Man': 95.44150829315186}",Man,"{'asian': 8.601631969213486, 'indian': 0.8362765423953533, 'black': 85.83999276161194, 'white': 2.1681027486920357, 'middle eastern': 0.25681841652840376, 'latino hispanic': 2.2971803322434425}",black,"{'angry': 5.021362825077662e-06, 'disgust': 3.3364313302400786e-09, 'fear': 0.03777313620548762, 'happy': 99.89904164666186, 'sad': 0.005204297795961666, 'surprise': 6.06555009068559e-08, 'neutral': 0.057978628865100676}",happy,image/teen/image15.jpeg
26,"{'x': 423, 'y': 153, 'w': 251, 'h': 251, 'left_eye': None, 'right_eye': None}",0.94,"{'Woman': 99.98964071273804, 'Man': 0.010360949818277732}",Woman,"{'asian': 72.43735522778567, 'indian': 4.2600093919027575, 'black': 1.0285148102325428, 'white': 6.744114995704294, 'middle eastern': 1.0800763608424233, 'latino hispanic': 14.449928468474333}",asian,"{'angry': 1.6119607674697548e-13, 'disgust': 1.1136720748390957e-27, 'fear': 1.790584107708146e-14, 'happy': 100.0, 'sad': 3.636170829241842e-14, 'surprise': 3.783122564673079e-12, 'neutral': 1.1103274549784103e-08}",happy,image/teen/image1.jpeg
27,"{'x': 0, 'y': 0, 'w': 1287, 'h': 933, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 99.97764229774475, 'Man': 0.022357575653586537}",Woman,"{'asian': 30.423903465270996, 'indian': 13.78246545791626, 'black': 7.788831740617752, 'white': 9.351716935634613, 'middle eastern': 5.274932458996773, 'latino hispanic': 33.37814807891846}",latino hispanic,"{'angry': 0.0016148351278388873, 'disgust': 4.4123723771938295e-10, 'fear': 5.8915640011036885e-05, 'happy': 0.19730194471776485, 'sad': 80.95495700836182, 'surprise': 1.7007383945610854e-06, 'neutral': 18.846067786216736}",sad,image/teen/image12.jpeg
29,"{'x': 725, 'y': 228, 'w': 406, 'h': 406, 'left_eye': (996, 386), 'right_eye': (858, 397)}",0.94,"{'Woman': 52.960240840911865, 'Man': 47.03975319862366}",Woman,"{'asian': 95.14524282756362, 'indian': 2.650990466891583, 'black': 0.05889781870778724, 'white': 0.06344694003575325, 'middle eastern': 0.005098719946817638, 'latino hispanic': 2.076329724649158}",asian,"{'angry': 1.7208890989422798, 'disgust': 2.7295900508761406, 'fear': 87.65513896942139, 'happy': 1.3152597472071648, 'sad': 5.254708230495453, 'surprise': 0.20949090830981731, 'neutral': 1.1149244382977486}",fear,image/teen/image6.jpeg
25,"{'x': 205, 'y': 316, 'w': 663, 'h': 663, 'left_eye': (653, 586), 'right_eye': (398, 583)}",0.92,"{'Woman': 2.108515612781048, 'Man': 97.89148569107056}",Man,"{'asian': 0.0700816828482369, 'indian': 0.061973366357936426, 'black': 0.008500842808846273, 'white': 81.3296415006687, 'middle eastern': 2.7391701476776777, 'latino hispanic': 15.790637229756978}",white,"{'angry': 0.306847644969821, 'disgust': 1.4528143965630846e-08, 'fear': 0.4395936615765095, 'happy': 4.8245574202354646e-08, 'sad': 27.36136019229889, 'surprise': 6.183904588397127e-06, 'neutral': 71.89218997955322}",neutral,image/teen/image7.jpeg
22,"{'x': 1016, 'y': 174, 'w': 199, 'h': 199, 'left_eye': (1150, 252), 'right_eye': (1082, 258)}",0.95,"{'Woman': 0.5596194416284561, 'Man': 99.44038391113281}",Man,"{'asian': 61.778634786605835, 'indian': 7.87615180015564, 'black': 13.478915393352509, 'white': 2.005348354578018, 'middle eastern': 1.1087073013186455, 'latino hispanic': 13.752244412899017}",asian,"{'angry': 0.00023237400021467917, 'disgust': 1.0634940673613958e-06, 'fear': 0.00017078506170270866, 'happy': 79.64839813997735, 'sad': 0.03660752481583654, 'surprise': 0.009608309328259712, 'neutral': 20.30498059421662}",happy,image/teen/image13.jpeg
34,"{'x': 0, 'y': 0, 'w': 640, 'h': 650, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 11.925289034843445, 'Man': 88.07470798492432}",Man,"{'asian': 1.3822982087731361, 'indian': 9.525305032730103, 'black': 6.02949745953083, 'white': 52.38857865333557, 'middle eastern': 21.82517796754837, 'latino hispanic': 8.849145472049713}",white,"{'angry': 0.001619399517949205, 'disgust': 2.636331365886424e-11, 'fear': 49.958598613739014, 'happy': 0.005213803888182156, 'sad': 50.0269889831543, 'surprise': 5.3611842742995464e-08, 'neutral': 0.007581193494843319}",sad,image/teen/image10.jpeg
23,"{'x': 770, 'y': 290, 'w': 367, 'h': 367, 'left_eye': (1019, 451), 'right_eye': (889, 428)}",0.93,"{'Woman': 99.31867122650146, 'Man': 0.6813285406678915}",Woman,"{'asian': 0.07129823789000511, 'indian': 0.5039207171648741, 'black': 0.005686622171197087, 'white': 60.69546937942505, 'middle eastern': 23.696368932724, 'latino hispanic': 15.027253329753876}",white,"{'angry': 0.00498160072900117, 'disgust': 2.051654524212591e-08, 'fear': 0.05059917176919709, 'happy': 0.003854919716683088, 'sad': 0.1371788874077134, 'surprise': 0.0022333853361189006, 'neutral': 99.80115293271261}",neutral,image/teen/image8.jpeg
24,"{'x': 241, 'y': 249, 'w': 279, 'h': 279, 'left_eye': (427, 362), 'right_eye': (341, 353)}",0.91,"{'Woman': 77.62492895126343, 'Man': 22.375068068504333}",Woman,"{'asian': 19.750206172466278, 'indian': 16.867193579673767, 'black': 8.683354407548904, 'white': 11.533526331186295, 'middle eastern': 9.289393573999405, 'latino hispanic': 33.87632071971893}",latino hispanic,"{'angry': 0.7653226135118373, 'disgust': 2.492175503518605e-06, 'fear': 3.1627787299620347, 'happy': 0.000397347890648772, 'sad': 80.3055036250057, 'surprise': 7.205708104477968e-05, 'neutral': 15.76592271124856}",sad,image/teen/image4.jpeg
32,"{'x': 819, 'y': 241, 'w': 215, 'h': 215, 'left_eye': None, 'right_eye': None}",0.93,"{'Woman': 3.595810756087303, 'Man': 96.40419483184814}",Man,"{'asian': 0.7097454656357128, 'indian': 0.012651699997407943, 'black': 0.0010443895342998302, 'white': 97.75609347296876, 'middle eastern': 0.6965981229809669, 'latino hispanic': 0.8238665810366369}",white,"{'angry': 0.24922894602519918, 'disgust': 0.00011424323022393885, 'fear': 84.09248184055306, 'happy': 0.00019457700045350375, 'sad': 14.821757099418987, 'surprise': 0.00028672794762132475, 'neutral': 0.8359321327886423}",fear,image/teen/image5.jpeg
25,"{'x': 611, 'y': 380, 'w': 233, 'h': 233, 'left_eye': (769, 468), 'right_eye': (675, 462)}",0.89,"{'Woman': 99.47333335876465, 'Man': 0.5266639869660139}",Woman,"{'asian': 1.0485398320868509e-05, 'indian': 1.7523940030607386e-05, 'black': 1.860792187223748e-07, 'white': 99.79695680177727, 'middle eastern': 0.10794178692945398, 'latino hispanic': 0.0950638149695766}",white,"{'angry': 0.014098834071774036, 'disgust': 6.077517504012031e-11, 'fear': 0.19443981582298875, 'happy': 9.142641488324443e-05, 'sad': 6.593035906553268, 'surprise': 6.173696647238103e-05, 'neutral': 93.19827556610107}",neutral,image/teen/image9.jpeg
28,"{'x': 467, 'y': 255, 'w': 346, 'h': 346, 'left_eye': (695, 388), 'right_eye': (577, 393)}",0.91,"{'Woman': 3.480413556098938, 'Man': 96.5195894241333}",Man,"{'asian': 5.952069163322449, 'indian': 1.202118769288063, 'black': 0.21400749683380127, 'white': 51.127445697784424, 'middle eastern': 10.23842915892601, 'latino hispanic': 31.2659353017807}",white,"{'angry': 0.00045742834115846905, 'disgust': 7.038648377201967e-12, 'fear': 0.26516385094307965, 'happy': 1.46284848429582e-10, 'sad': 98.6204444539812, 'surprise': 3.1676452358951293e-12, 'neutral': 1.113934881325655}",sad,image/teen/image11.jpeg
38,"{'x': 0, 'y': 0, 'w': 769, 'h': 813, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 14.689336717128754, 'Man': 85.3106677532196}",Man,"{'asian': 14.287708486591757, 'indian': 13.65611390398575, 'black': 15.32800312900506, 'white': 18.214155052404994, 'middle eastern': 21.184976853731055, 'latino hispanic': 17.329036613817618}",middle eastern,"{'angry': 0.01398221793351695, 'disgust': 3.1769125524716557e-09, 'fear': 99.13753867149353, 'happy': 0.796041451394558, 'sad': 0.0032797823223518208, 'surprise': 0.04916083998978138, 'neutral': 1.8028508685929978e-07}",fear,image/teen/image3.jpeg
23,"{'x': 467, 'y': 599, 'w': 255, 'h': 255, 'left_eye': (637, 685), 'right_eye': (545, 716)}",0.95,"{'Woman': 32.42267370223999, 'Man': 67.57733225822449}",Man,"{'asian': 91.25227332115173, 'indian': 3.2511603087186813, 'black': 0.9721634909510612, 'white': 0.31591402366757393, 'middle eastern': 0.04937797202728689, 'latino hispanic': 4.15910929441452}",asian,"{'angry': 52.25327326376875, 'disgust': 0.048436393239469425, 'fear': 4.23382098876363, 'happy': 0.00011888223097327308, 'sad': 28.55572870705895, 'surprise': 0.03155292840151807, 'neutral': 14.877068393055701}",angry,image/adults/image14.jpeg
26,"{'x': 74, 'y': 287, 'w': 1098, 'h': 1098, 'left_eye': (830, 705), 'right_eye': (395, 752)}",0.89,"{'Woman': 99.97615218162537, 'Man': 0.023844369570724666}",Woman,"{'asian': 0.9945534846718925, 'indian': 0.15403188791490938, 'black': 0.008827833192224941, 'white': 80.43577904274713, 'middle eastern': 6.530903246295065, 'latino hispanic': 11.875899210465048}",white,"{'angry': 0.2643699449670282, 'disgust': 1.734908847852667e-09, 'fear': 0.3048175894732827, 'happy': 2.3761685947416345e-05, 'sad': 1.0575373356066546, 'surprise': 5.614834443439386e-06, 'neutral': 98.37324609597005}",neutral,image/adults/image15.jpeg
